league_id,season,team_id,team_name,team_code,team_country,team_founded,team_national,team_logo,venue_id,venue_name,venue_address,venue_city,venue_capacity,venue_surface,venue_image
140,2024,529,Barcelona,BAR,Spain,1899.0,False,https://media.api-sports.io/football/teams/529.png,19939.0,Camp Nou,"Les Corts, 08028",Barcelona,55926.0,grass,https://media.api-sports.io/football/venues/19939.png
140,2024,530,Atletico Madrid,MAD,Spain,1903.0,False,https://media.api-sports.io/football/teams/530.png,19217.0,Estádio Cívitas Metropolitano,Rosas,Madrid,70460.0,grass,https://media.api-sports.io/football/venues/19217.png
140,2024,531,Athletic Club,BIL,Spain,1898.0,False,https://media.api-sports.io/football/teams/531.png,1460.0,San Mamés Barria,Rafael Moreno Pitxitxi Kalea,Bilbao,53289.0,grass,https://media.api-sports.io/football/venues/1460.png
140,2024,532,Valencia,VAL,Spain,1919.0,False,https://media.api-sports.io/football/teams/532.png,1497.0,Estadio de Mestalla,Avenida de Suecia,Valencia,55000.0,grass,https://media.api-sports.io/football/venues/1497.png
140,2024,533,Villarreal,VIL,Spain,1923.0,False,https://media.api-sports.io/football/teams/533.png,1498.0,Estadio de la Cerámica,Plaza Labrador,Villarreal,24500.0,grass,https://media.api-sports.io/football/venues/1498.png
140,2024,534,Las Palmas,PAL,Spain,1949.0,False,https://media.api-sports.io/football/teams/534.png,1481.0,Estadio de Gran Canaria,Avenida Pío XII 29,Las Palmas de Gran Canaria,32392.0,grass,https://media.api-sports.io/football/venues/1481.png
140,2024,536,Sevilla,SEV,Spain,1890.0,False,https://media.api-sports.io/football/teams/536.png,1494.0,Estadio Ramón Sánchez Pizjuán,Avenida de Eduardo Dato,Sevilla,48649.0,grass,https://media.api-sports.io/football/venues/1494.png
140,2024,537,Leganes,LEG,Spain,1928.0,False,https://media.api-sports.io/football/teams/537.png,1464.0,Estadio Municipal de Butarque,Calle Arquitectura,Leganés,12450.0,grass,https://media.api-sports.io/football/venues/1464.png
140,2024,538,Celta Vigo,CEL,Spain,1923.0,False,https://media.api-sports.io/football/teams/538.png,1467.0,Abanca-Balaídos,Avenida de Balaídos,Vigo,31800.0,grass,https://media.api-sports.io/football/venues/1467.png
140,2024,540,Espanyol,ESP,Spain,1900.0,False,https://media.api-sports.io/football/teams/540.png,20421.0,Stage Front Stadium,Avenida Baix Llobregat 100,Cornella de Llobregat,40423.0,grass,https://media.api-sports.io/football/venues/20421.png
140,2024,541,Real Madrid,REA,Spain,1902.0,False,https://media.api-sports.io/football/teams/541.png,1456.0,Estadio Santiago Bernabéu,"Avenida de Concha Espina 1, Chamartín",Madrid,85454.0,grass,https://media.api-sports.io/football/venues/1456.png
140,2024,542,Alaves,ALA,Spain,1921.0,False,https://media.api-sports.io/football/teams/542.png,1470.0,Estadio de Mendizorroza,Paseo de Cervantes,Vitoria-Gasteiz,19840.0,grass,https://media.api-sports.io/football/venues/1470.png
140,2024,543,Real Betis,BET,Spain,1907.0,False,https://media.api-sports.io/football/teams/543.png,1489.0,Estadio Benito Villamarín,Avenida de Heliópolis,Sevilla,60721.0,grass,https://media.api-sports.io/football/venues/1489.png
140,2024,546,Getafe,GET,Spain,1983.0,False,https://media.api-sports.io/football/teams/546.png,20422.0,Estadio Coliseum,Avenida de Teresa de Calcuta,Getafe,17393.0,grass,https://media.api-sports.io/football/venues/20422.png
140,2024,547,Girona,GIR,Spain,1930.0,False,https://media.api-sports.io/football/teams/547.png,1478.0,Estadi Municipal de Montilivi,Avenida Montlivi 141,Girona,14500.0,grass,https://media.api-sports.io/football/venues/1478.png
140,2024,548,Real Sociedad,RSO,Spain,1909.0,False,https://media.api-sports.io/football/teams/548.png,1491.0,Reale Arena,Paseo de Anoeta 1,Donostia-San Sebastián,40000.0,grass,https://media.api-sports.io/football/venues/1491.png
140,2024,720,Valladolid,VAL,Spain,1928.0,False,https://media.api-sports.io/football/teams/720.png,1492.0,Estadio Municipal José Zorrilla,Avenida del Mundial 82,Valladolid,26512.0,grass,https://media.api-sports.io/football/venues/1492.png
140,2024,727,Osasuna,OSA,Spain,1920.0,False,https://media.api-sports.io/football/teams/727.png,1486.0,Estadio El Sadar,Carretera El Sadar,Iruñea,23576.0,grass,https://media.api-sports.io/football/venues/1486.png
140,2024,728,Rayo Vallecano,RAY,Spain,1924.0,False,https://media.api-sports.io/football/teams/728.png,1488.0,Estadio de Vallecas,Calle Payaso Fofó,Madrid,15500.0,grass,https://media.api-sports.io/football/venues/1488.png
140,2024,798,Mallorca,MAL,Spain,1916.0,False,https://media.api-sports.io/football/teams/798.png,19940.0,Estadi Mallorca Son Moix,Camí dels Reis,Palma de Mallorca,23142.0,grass,https://media.api-sports.io/football/venues/19940.png
128,2024,434,Gimnasia L.P.,GIM,Argentina,1887.0,False,https://media.api-sports.io/football/teams/434.png,77.0,Estadio Juan Carmelo Zerillo,Avenida 60 y 118,"La Plata, Provincia de Buenos Aires",24544.0,grass,https://media.api-sports.io/football/venues/77.png
128,2024,435,River Plate,RIV,Argentina,1901.0,False,https://media.api-sports.io/football/teams/435.png,19570.0,Estadio Mâs Monumental,"Avenida Presidente José Figueroa Alcorta 7597, Núñez","Capital Federal, Ciudad de Buenos Aires",83214.0,grass,https://media.api-sports.io/football/venues/19570.png
128,2024,436,Racing Club,RAC,Argentina,1903.0,False,https://media.api-sports.io/football/teams/436.png,99.0,Estadio Presidente Juan Domingo Perón,Calle Mozart y Orestes Omar Corbatta,"Avellaneda, Provincia de Buenos Aires",51500.0,grass,https://media.api-sports.io/football/venues/99.png
128,2024,437,Rosario Central,ROS,Argentina,1889.0,False,https://media.api-sports.io/football/teams/437.png,19391.0,Estadio Gigante de Arroyito,"Avenida Génova y Avenida Centenario Rosario Central, Arroyito","Rosario, Provincia de Santa Fe",41654.0,grass,https://media.api-sports.io/football/venues/19391.png
128,2024,438,Velez Sarsfield,VEL,Argentina,1910.0,False,https://media.api-sports.io/football/teams/438.png,115.0,Estadio José Amalfitani,"Avenida Juan B. Justo 9200, Liniers","Capital Federal, Ciudad de Buenos Aires",49747.0,grass,https://media.api-sports.io/football/venues/115.png
128,2024,439,Godoy Cruz,GOD,Argentina,1921.0,False,https://media.api-sports.io/football/teams/439.png,80.0,Estadio Malvinas Argentinas,Calle San Francisco De Asis y Boulogne Sur Mer Mendoza,"Mendoza, Provincia de Mendoza",40268.0,grass,https://media.api-sports.io/football/venues/80.png
128,2024,440,Belgrano Cordoba,BEL,Argentina,1905.0,False,https://media.api-sports.io/football/teams/440.png,45.0,Estadio Julio César Villagra,"Calle Dr. Arturo Orgaz 510 y La Rioja, Barrio Alberdi","Ciudad de Córdoba, Provincia de Córdoba",28000.0,grass,https://media.api-sports.io/football/venues/45.png
128,2024,441,Union Santa Fe,UNI,Argentina,1907.0,False,https://media.api-sports.io/football/teams/441.png,1933.0,Estadio 15 de Abril,Bulevar Pellegrini y Avenida Vicente López y Planes 3513,"Ciudad de Santa Fe, Provincia de Santa Fe",27000.0,grass,https://media.api-sports.io/football/venues/1933.png
128,2024,442,Defensa Y Justicia,DEF,Argentina,1935.0,False,https://media.api-sports.io/football/teams/442.png,59.0,Estadio Norberto Tito Tomaghello,Avenida Humahuaca y Calle 611,"Florencio Varela, Provincia de Buenos Aires",20000.0,grass,https://media.api-sports.io/football/venues/59.png
128,2024,445,Huracan,HUR,Argentina,1908.0,False,https://media.api-sports.io/football/teams/445.png,82.0,Estadio Tomás Adolfo Ducó,"Avenida Amancio Alcorta 2570, Parque Patricios","Capital Federal, Ciudad de Buenos Aires",48314.0,grass,https://media.api-sports.io/football/venues/82.png
128,2024,446,Lanus,LAN,Argentina,1915.0,False,https://media.api-sports.io/football/teams/446.png,88.0,Estadio Ciudad de Lanús - Néstor Díaz Pérez,Calle General J. Arias y J. Héctor Guidi,"Lanús, Provincia de Buenos Aires",46619.0,grass,https://media.api-sports.io/football/venues/88.png
128,2024,449,Banfield,BAN,Argentina,1896.0,False,https://media.api-sports.io/football/teams/449.png,43.0,Estadio Florencio Solá,Calle General Arenales y Peña,"Lomas de Zamora, Provincia de Buenos Aires",34901.0,grass,https://media.api-sports.io/football/venues/43.png
