tm_id,name,birth_date,age,height_m,nationality,citizenship_list,position,other_positions_list,current_club,last_club,at_club_since,joined_date,contract_expiry,market_value_mEUR,league,tm_url,scraped_at
538092,Mariano Miño,1994-03-28,31,1.6,Argentina,['Argentina'],Attacking Midfield,"['Central Midfield', 'Left Midfield']",Without Club,Quilmes,"Sep 26, 2025",,,0.15,Argentina Liga Profesional,https://www.transfermarkt.us/mariano-mino/profil/spieler/538092,2026-03-19 16:57:49.420017+00:00
356089,David Barbona,1995-02-22,31,1.76,Argentina,['Argentina'],Right Winger,"['Left Winger', 'Attacking Midfield']",Defensa,,,"Jan 3, 2024","Dec 31, 2026",0.6,Argentina Liga Profesional,https://www.transfermarkt.us/david-barbona/profil/spieler/356089,2026-03-19 16:57:41.909348+00:00
93795,Facundo Ferreyra,1991-03-14,35,1.85,Argentina,[],Centre-Forward,[],Without Club,Tigre,"Jan 1, 2025",,,,Argentina Liga Profesional,https://www.transfermarkt.us/facundo-ferreyra/marktwertverlauf/spieler/93795,2026-03-19 16:57:34.154779+00:00
989579,Tomás González,2003-05-18,22,1.68,Argentina,['Argentina'],Centre-Forward,"['Right Winger', 'Left Winger']",Unión Santa Fe,,,"Jul 8, 2022","Dec 31, 2026",0.275,Argentina Liga Profesional,https://www.transfermarkt.us/tomas-gonzalez/profil/spieler/989579,2026-03-19 16:57:24.506121+00:00
1301391,Santiago Esquivel,2004-01-02,22,1.75,Argentina,['Argentina'],Central Midfield,[],Banfield,,,"Jul 1, 2024","Dec 31, 2027",0.5,Argentina Liga Profesional,https://www.transfermarkt.us/santiago-esquivel/profil/spieler/1301391,2026-03-19 16:57:17.956503+00:00
1305914,Juan Morán,2006-07-10,19,1.83,Argentina,"['Italy', 'Argentina']",Left-Back,['Centre-Back'],Godoy Cruz,,,"Jul 1, 2024",-,0.7,Argentina Liga Profesional,https://www.transfermarkt.us/juan-moran/profil/spieler/1305914,2026-03-19 16:57:10.227591+00:00
213541,Gabriel Hachen,1990-10-16,35,1.67,Argentina,['Argentina'],Attacking Midfield,"['Right Winger', 'Central Midfield']",San Martín (SJ),,,"Jan 1, 2026","Dec 31, 2026",0.1,Argentina Liga Profesional,https://www.transfermarkt.us/gabriel-hachen/profil/spieler/213541,2026-03-19 16:57:02.712761+00:00
225481,Lucas Menossi,1992-07-11,33,1.69,Argentina,[],Central Midfield,[],Unión Santa Fe,,,"Jan 27, 2026","Dec 31, 2026",0.225,Argentina Liga Profesional,https://www.transfermarkt.us/lucas-menossi/marktwertverlauf/spieler/225481,2026-03-19 16:48:39.265653+00:00
267433,Iván Rossi,1993-11-01,32,1.83,Argentina,"['Italy', 'Argentina']",Defensive Midfield,['Central Midfield'],Danubio FC,,,"Feb 18, 2026","Dec 31, 2026",0.35,Argentina Liga Profesional,https://www.transfermarkt.us/ivan-rossi/profil/spieler/267433,2026-03-19 16:48:31.193704+00:00
271478,Paulo Díaz,1994-08-25,31,1.78,Chile,"['Argentina', 'Chile']",Centre-Back,"['Right-Back', 'Left-Back']",River Plate,,,"Aug 1, 2019","Dec 31, 2027",2.5,Argentina Liga Profesional,https://www.transfermarkt.us/paulo-diaz/profil/spieler/271478,2026-03-19 16:48:22.773982+00:00
360338,Marcos Peano,1998-10-15,27,1.87,Argentina,[],Goalkeeper,[],La Louvière,,,"Jul 1, 2024","Jun 30, 2028",1.5,Argentina Liga Profesional,https://www.transfermarkt.us/marcos-peano/marktwertverlauf/spieler/360338,2026-03-19 16:48:15.829162+00:00
730802,Luciano Herrera,1996-05-31,29,1.79,Argentina,['Argentina'],Left Winger,"['Centre-Forward', 'Right Winger']",Newell's,,,"Jan 14, 2026","Dec 31, 2028",1.2,Argentina Liga Profesional,https://www.transfermarkt.us/luciano-herrera/profil/spieler/730802,2026-03-19 16:48:09.359270+00:00
739996,Matías Esquivel,1999-03-22,26,1.64,Argentina,['Argentina'],Central Midfield,"['Attacking Midfield', 'Right Winger']",Sundowns,,,"Jan 21, 2024","Jun 30, 2027",0.9,Argentina Liga Profesional,https://www.transfermarkt.us/matias-esquivel/profil/spieler/739996,2026-03-19 16:48:01.889147+00:00
1108484,Valentín Peñalva,2003-06-04,22,1.85,Argentina,['Argentina'],Centre-Back,['Right-Back'],Germinal,,,"Mar 4, 2026","Dec 31, 2026",,Argentina Liga Profesional,https://www.transfermarkt.us/valentin-penalva/profil/spieler/1108484,2026-03-19 16:47:45.812144+00:00
